"变化"	"change; to change"
"末"	"end"
"来不及"	"not enough time to do something"
"高速铁路"	"high-speed rail"
"表哥"	"older male cousin of a different surname"
"街"	"street"
"盖"	"to build; to construct"
"骑"	"to ride"
"自行车"	"bicycle"
"上班"	"to go to work"
"想像"	"to imagine; to visualize"
"要不是"	"if it were not for; but for"
"游客"	"tourist"
"老外"	"foreigner"
"哈"	"(sound of laughter)"
"对面"	"opposite side"
"快餐"	"fast food"
"服装"	"clothing"
"融入"	"to merge into"
"特色"	"distinguishing feature or quality; characteristic"
"保留"	"to remain as before, to retain"
"建筑"	"architecture; to build"
"尝"	"to taste"
"小吃"	"small and inexpensive dishes, snacks; local cuisine"
"不管"	"no matter, regardless of"
"变"	"to change"
"民以食为天"	"the people consider of food as important as heaven"
"句"	"(measure word for sentences)"
"从来"	"from past until present, always, at all times"
"老百姓"	"common folk, ordinary people"
"尽可能"	"as much as possible (first character does not have pinyin ending with g)"
"厦"	"mansion, tall building"
"座"	"m.w. for buildings and mountains"
"声音"	"sound, voice (first character's pinyin ends with g)"
"脚步"	"footstep"
"拍"	"to take a picture, to shoot a film"
"咕噜"	"rumbling sound"
"法国"	"France"
"夫子庙"	"Temple of Confucious"
